Country,ISO3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,ISL,9025.660362,8234.846805,9318.395055,11429.333038,13825.302536,16852.963067,17465.318552,21652.505597,18074.622987,13154.414219,13751.161918,15221.622926,14751.508134,16125.060515,17867.662178,17517.210519,20793.168031,24728.285177,26260.850582
Italy,ITA,1149660.0,1172040.0,1281750.0,1582930.0,1812810.0,1864980.0,1958560.0,2222520.0,2417510.0,2209480.0,2144940.0,2306970.0,2097930.0,2153230.0,2173260.0,1845430.0,1887110.0,1970720.0,2099440.0
Japan,JPN,4968360.0,4374710.0,4182850.0,4519560.0,4893120.0,4831470.0,4601660.0,4579750.0,5106680.0,5289490.0,5759070.0,6233150.0,6272360.0,5212330.0,4896990.0,4444930.0,5003680.0,4930840.0,5040880.0
"Korea, Rep.",KOR,576179.0,547656.0,627247.0,702715.0,793176.0,934901.0,1053220.0,1172610.0,1047340.0,943942.0,1143670.0,1253290.0,1278050.0,1370630.0,1484490.0,1466040.0,1499680.0,1623070.0,1725370.0
Morocco,MAR,43017.455402,43831.480208,47077.192188,58029.363354,66114.145451,68852.658069,75883.823301,86947.913287,101823.0,101155.0,100865.0,110081.0,106937.0,115739.0,119131.0,110414.0,111573.0,118541.0,127341.0
Mexico,MEX,742061.0,796065.0,810666.0,765550.0,819459.0,917572.0,1020270.0,1102360.0,1161550.0,943437.0,1105420.0,1229010.0,1255110.0,1327440.0,1364510.0,1213290.0,1112230.0,1190720.0,1256300.0
Myanmar,MMR,8905.066164,6477.790688,6777.632512,10467.109978,10567.354056,11986.972419,14502.55371,20182.477481,31862.554102,36906.181381,49540.813342,59977.326086,59937.796648,60269.732855,65531.3742,59607.290408,63298.361996,66053.040483,67860.51599
Malaysia,MYS,93789.736842,92783.947368,100846.0,110202.0,124749.0,143534.0,162692.0,193550.0,230812.0,202257.0,255018.0,297952.0,314443.0,323276.0,338066.0,301355.0,301256.0,319109.0,358789.0
Norway,NOR,171457.0,174239.0,195915.0,229385.0,265269.0,309979.0,346915.0,402643.0,464918.0,387976.0,431052.0,501361.0,512777.0,526014.0,501736.0,388160.0,370957.0,401745.0,439789.0
New Zealand,NZL,52623.281957,53872.425917,66627.729311,88250.88555,103905.0,114720.0,111539.0,137189.0,133131.0,121374.0,146518.0,168295.0,176211.0,190910.0,201338.0,178104.0,188898.0,206567.0,211847.0
Peru,PER,51744.749133,52030.158775,54777.553515,58731.030122,66768.703498,76060.606061,88643.193062,102171.0,120551.0,120823.0,147528.0,171762.0,192650.0,201176.0,200786.0,189803.0,191898.0,211008.0,222597.0
Philippines,PHL,83669.788255,78921.234458,84307.345888,87039.092974,95001.999685,107420.0,127653.0,155980.0,181625.0,175975.0,208369.0,234217.0,261921.0,283903.0,297484.0,306446.0,318627.0,328481.0,346842.0
Portugal,PRT,118605.0,121604.0,134796.0,165226.0,189382.0,197254.0,208756.0,240496.0,263416.0,244668.0,238444.0,245427.0,216537.0,226677.0,230079.0,199039.0,206305.0,220863.0,242093.0
Saudi Arabia,SAU,189515.0,184138.0,189606.0,215808.0,258742.0,328460.0,376900.0,415965.0,519797.0,429098.0,528207.0,676635.0,741850.0,753865.0,766606.0,669484.0,666000.0,714995.0,846584.0
Singapore,SGP,96076.539926,89793.79067,92538.37287,97646.401096,115034.0,127808.0,148627.0,180942.0,193617.0,194150.0,239808.0,279356.0,295093.0,307576.0,314864.0,307999.0,319054.0,343257.0,376893.0
Sweden,SWE,262905.0,242499.0,267373.0,334074.0,384547.0,391690.0,422530.0,490050.0,514617.0,434314.0,492753.0,570541.0,549742.0,584128.0,577730.0,501698.0,514218.0,536084.0,551312.0
Thailand,THA,126392.0,120296.0,134301.0,152281.0,172896.0,189318.0,221758.0,262943.0,291383.0,281711.0,341105.0,370819.0,397558.0,420334.0,407339.0,401296.0,413366.0,456357.0,506754.0
United States,USA,10251000.0,10581900.0,10929100.0,11456500.0,12217200.0,13039200.0,13815600.0,14474200.0,14769900.0,14478100.0,15049000.0,15599700.0,16254000.0,16880700.0,17608100.0,18295000.0,18804900.0,19612100.0,20656500.0
South Africa,ZAF,151753.0,135430.0,129088.0,197019.0,255807.0,288867.0,303859.0,333077.0,316131.0,329754.0,417364.0,458199.0,434401.0,400886.0,381199.0,346710.0,323586.0,381449.0,405261.0
